iid,source,ems,score,target
3ABAOCJ4R84DJT3UDQHDUU1OVQ3QMQ,"i had a ok day, then someone messaged me who I feel don't want me know me. They live overseas and I came back from them in January, I'm going over there in July, and when I said, they are having work done on the house and said if it fits they will see me, I understand from that they don't want to know me, as they are the only ones who knew about my problems. They are doing a runner, so when she messaged today, has upset me. She says they miss me, but I don't believe them. They really don't want to know me, and it makes me upset. I've not contacted them, but then feel rude when I didn't. I hate myself, why do I feel for others, it would be easier if I didn't as I wouldn't be here now. I could do the right thing for everyone, including me.",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
37VE3DA4YUH4N90U3B4A70YTS43BHQ,"I've never written on a forum such as this before, but I figured I'd give it a shot.      I've been on antidepressants for a couple years now and I am 21 years old.  I was on Lexapro, Zoloft, Welbutrin, and finally Effexor 75mg.  I tapered from 75mg-37.5mg every other day, then just 37.5mg, then 35.7-none every other day.  After tapering off the Effexor for a couple of months, I've finally hit the point where I could completely stop taking the medication last Saturday.  I wasn't nautious at all with the withdrawal, neither did I have ""brain zaps"".  I've mostly had a lot of irritability and headaches (I never have headaches before).      I don't know if this is normal, but I feel severely depressed.  One minute I'm alright, and the next moment I feel like I'm carrying a ton of bricks.  I can't stop crying; I feel like I'm on an emotional rollercoaster with a ton of rough turns and hills. I've constantly got a voice in my head putting me down or telling me that I'm not doing anything right.  Unfortunately, that voice is starting to burrow its way in further.      I'm in the process of finding a new doctor; the one I had when I was discontinuing my medication wasn't very helpful.  I've called their office three times checking in and letting him know how I've been feeling, and all three times I haven't heard back from him.  I'm completely frustrated and feel as though nothing's going to change even if I tell them what's happening.      I really really REALLY don't want to go back on antidepressants; I felt cloudly and slow-minded ever since I've taken them, sort of like I was in a dream state. I just don't want to go back on them and be an absolute zombie who has to constantly clench her head together to remember a simple conversation.      I also struggle with an eating disorder and have gained almost 30 pounds from these medications.  It really has a toll on my self-worth.      I know it's a lot, but I just don't know where else to turn to anymore.   Thank you.",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3R868ACW4SCM5B8ZPJ2V8ITV47CGZ2,"I have had Emetophobia for as long as I can remember. For those who don't know, Emetophobia is the fear of vomit.  Dealing with Emetophobia has been extremely difficult for me. If people say they feel sick I panic and try to get away from them as soon as possible, of course, in a way that isn't obvious.  Telling people I have it can be annoying, most people don't believe that it is an actual phobia and that I'm being silly and It'll eventually stop being a bother. Obviously, It's a real phobia and many people actually have it, and it isn't just a bother. Emetophobia is ruining my life. Usually, when I have a panic attack caused by this fear, I start to shake violently, sweat profusely, start to cry and so on. It's much like any other anxiety attack, so It's a horrible feeling to go through.  does anyone else go through this and know any ways to cope with this fear? It's controlling my life and I'm sick of it. Thank you.",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3PEG1BH7AERVPZ129W77KSELKL7BKU,"Hello everyone,         Just to start this off, i will say this; i am ridiculously depressed and have been since i was about 17 (22 now). I am at a stage where everyday i become so irritable i can never get anything done, i can never get satisfied, and live in a constant backlog of things i think i need to do, Always chasing my tail, but never getting there. I spend most of my time in agony with no idea how to escape the pain, forcing a smile for my co-workers whilst i try to convince myself it will end.   But i wanted for my first post to be something of a positive message; When i'm in the depths of depression (like in this very moment) i feel the most overwhelming loneliness. But after looking through these posts i felt for once not so alone, even though everyone to some degree are probably strangers to each other, There is a sense of community. And as a positive act i just wanted to share love with all of you. Keep up the fight, and i suppose for the future; thank you for being there. I want to start making posts and sharing with you all. And i know this post will probably take up valuable space that could be better used for someone wishing in this very moment to be helped...i had to share this... in the hope that it might make someone feel even slightly less alone... just for a moment. I am a person who avoids doing things at the fear of failure, and i was incredibly wary to post this in the fear of mockery or something? But even in the face of that, i just wanted to share my love... With everyone... Whoever you are. Bless you all.      YOU ARE NOT ALONE.      Cal x",10.  ENTITLEMENT / GRANDIOSITY  (ET),3,False
35O6H0UNLSGYPZEBQ1GIGREGV0LJ52,"Can't handle it anymore, my daughter is full on hard work. Lately she been pushing me over.  My hubby is also hard work. I hate being controlled. I feel like I need to get away from it all.  It's not helping my mental state.  I'm so sick of this.  I want to leave I don't want or need this shit anymore. I'm smoking I can't quit I can't deal with it at all.  It really hurts but I need to get out and change things.  I love my hubby but I'm not in right state to deal with this anymore. Feel like a slave.  When I do get try get time to myself I get made to feel guilty. So feel down right now,  trying to beat the urge to hurt myself. I don't know how much longer I can go on like this",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3H781YYV6TISZL39DWNPMR726VBTEI,"<p>I&#39;m done with family! What does that even mean anyway? Everyone is so two faced! I&#39;m sick of having to try to defend myself! I understand they don&#39;t get it (my illness) but they should get me! They should know me! I&#39;m told I&#39;m selfish, this that and the other and I&#39;m at a loss of how to stick up for myself, what to say, how to make them understand. I&#39;m just sick of it! &#128542;</p>",10.  ENTITLEMENT / GRANDIOSITY  (ET),3,False
3H781YYV6TISZL39DWNPMR726VBET3,<p>Long story cut short.</p><p>I was on floxutine40mg 13yrs  and stopped working. </p><p>Then onto Mirtazapine 30mg up your 45mg  and they didn&#39;t seem to work.</p><p>Then on Sertraline  50mg for 5days but didn&#39;t agree with me. So I called the doctor and she was puzzle but she did say. The doctor who took me off the other medication did you reduce your dose . I said no.  So now I&#39;m back on to Mirtazapine45mg  and being weaned off weekly 30mg down to 15mg then have appointment to see doctor in two wks.  I&#39;m hoping that she going to start me on something that&#39;s going to suit me. I fed up being messed about.  I&#39;m really depressed and off work atm.  I can&#39;t seem to have the smile or get involved with things it seems 100 time harder to bring my self to it.  Things go around in my head over and over again and don&#39;t stop. </p><p>Has anyone else changed med and feeling bad. </p>,10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3I4E7AFQ2KZ0A1P1RXYGJ7KUB37TJ3,"<p>I feel hopeless and it&#39;s slowly killing me. I get so angry at tiny things sometimes and some other times I feel so completely empty. I&#39;m not skinny enough I&#39;m not good enough and I&#39;m sick of all this I&#39;m sick of having to wear long sleeves in the summer and people asking me why. Sometimes I feel every emotion mixed with feeling nothing and I cry for hours without knowing why. Everything&#39;s collapsing around me and I feel like it&#39;s never going to get better. I&#39;m always terrified in public I can&#39;t talk to my form without breaking down I&#39;m so self conscious about even the way I breath, I panic so much and I&#39;m sick of faking smiles. I want help. I haven&#39;t told my parents.. they think I&#39;m just a normal child a happy child but I flip out at them and they get mad at me and we argue a lot. I can&#39;t tell my family I really can&#39;t. What do I do?! Someone please help me I need help.</p>",10.  ENTITLEMENT / GRANDIOSITY  (ET),1,False
3TFJJUELSHPJIOPIYQXYVGY9L6LC2G,"<p>I just turned 20 recently &amp; I&#39;ve had severe anxiety since I was 11. It started when I entered the 6th grade &amp; only seemed to get worse. I&#39;m not sure why it began, but it&#39;s a terrible thing to live w/ &amp; I wouldn&#39;t wish it upon anyone. High school was the worst. My panic attacks were out of control (more than usual) &amp; w/ them came depression. I was even suicidal for a period of time since I&#39;m being completely honest here. I went to see many therapists/ counselors &amp; tried many pills. This goes on for a while and I finally found a combination of medicine that seemed to work okay (minus the side effects of nausea etc.) so after graduating HS I decided to quit the pills. I really could better control my anxiety, but now, my 2nd yr. in college, my anxiety has gotten out of hand again. I feel like I have zero control over my life &amp; I hate it. I thought I could get better but to instead find out that I&#39;ve completely regressed is a major source of anger for me. I just want this to go away without having to take medicine for it. I don&#39;t know what to do I just know this can&#39;t be ignored anymore.</p>",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3X55NP42EOGRXVU57VX9YQ28Q30P3I,"Last November, I was involved in a financial scam. I lost more than $25,000. Basically all the money I have. This person was introduced by an acquaintance. I think my acquaintance told this person a lot about me, so he quickly got my trust. Long story short, scammed all my money, I reported to local police, but money is forever lost and I am in debt. Need to pay off a loan to the bank. Basically, all the money I'm earning from my job now, is used to pay it off. Which means, I have no extra money for myself. I haven't been buying my own groceries, my wardrobe is extremely out-of-trend, and I'm back to having trust issues, especially when colleagues ask me to try dating sites to meet a potential husband.  I almost got into an argument with my dad yesterday morning. I was telling him that he shouldn't be going out so much because the air quality in our area is bad (fires burning, and smoke in the air). Then he goes off telling me, that I don't go out at all, for anything, but to work. I stopped myself from responding him, because I know I will just get frustrated and it will turn into some sort of argument. My thought process is, I don't have excess money to spend. So, there's no point in going out. It's not like I don't want to be out and about. But this is something I don't want to bring up again. This experience, was unfortunate, and I'm still angry at myself for being stupid and believing in what I'm being told. I guess I made things worse because I'm also the type of person who has trouble saying ""No"" when being asked to do something. Except this time, I paid a big price and it backfired.  I'm still quite saddened by this, and I can't share it with my family, so the only place I can think of, is here. Things like what my dad has said, triggers me. I was quite depressed during my shift at work, even asked my colleagues not to talk to me much. I actually felt emotional at work yesterday, I almost wanted to have a meltdown. I'm not quite back to normal yet today, I think it'll take a few days to calm my feelings. I'll try to act okay at work though, and just dwell on my own time. Reading over what I have written here now, is making me teary. My career changing goals and wanting to finish my Diploma, now all has to be postponed because I don't have the money for it.  Thank you for reading this far~",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
